Country,population
Argentina,44040000
Australia,24600000
Austria,87730000
Brazil,207800000
Canada,365400000
China,1386000000
Egypt,96440000
France,66770000
Germany,82520000
India,1339000000
Indonesia,264600000
Italy,60590000
Japan,126800000
Malaysia,311100000
Mexico,124800000
Nigeria,190900000
Poland,37970000
Russia,144500000
Saudi Arabia,33100000
Singapore,5612000
South Africa, 57000000
South Korea,51470000
Spain,46530000
Thailand,69210000
Turkey,79810000
United Arab Emirates,9487000
United Kingdom,65840000
United States,325100000
Vietnam,94600000
